time/fps,time/iterations,train/std,train/n_updates,train/entropy_loss,time/time_elapsed,train/learning_rate,time/total_timesteps,train/explained_variance,train/reward,train/value_loss,train/policy_loss
110,100,1.001968264579773,99,-41.20670700073242,4,0.0007,500,-1.1920928955078125e-07,-0.27305338,4.385795593261719,65.8668441772461
110,200,1.0046803951263428,199,-41.279319763183594,9,0.0007,1000,0.028936028480529785,-2.9209461,1.0595481395721436,6.844642639160156
110,300,1.0056747198104858,299,-41.3091926574707,13,0.0007,1500,1.1920928955078125e-07,7.007262,95.4090347290039,-391.8448791503906
109,400,1.0050477981567383,399,-41.29016876220703,18,0.0007,2000,0.0,2.7317061,6.420077323913574,-16.634986877441406
109,500,1.004183292388916,499,-41.26666259765625,22,0.0007,2500,0.0,-12.684937,129.20034790039062,368.47564697265625
109,600,1.0039796829223633,599,-41.255496978759766,27,0.0007,3000,0.04932355880737305,0.27747196,2.190591335296631,52.341270446777344
108,700,1.003930926322937,699,-41.25843048095703,32,0.0007,3500,0.01939910650253296,2.2354276,7.302426815032959,-110.8725357055664
107,800,1.005066990852356,799,-41.28333282470703,37,0.0007,4000,1.1920928955078125e-07,-0.8404038,3.538785457611084,-68.37943267822266
105,900,1.0062000751495361,899,-41.31123352050781,42,0.0007,4500,0.0,1.8461766,6.839484214782715,106.992919921875
105,1000,1.0043736696243286,999,-41.26786804199219,47,0.0007,5000,0.0,-0.22405441,13.231460571289062,110.74180603027344
105,1100,1.0046344995498657,1099,-41.269813537597656,52,0.0007,5500,0.0,-8.0192175,4.294537544250488,0.9249008297920227
105,1200,1.005743145942688,1199,-41.30382537841797,56,0.0007,6000,0.0,0.06538673,6.7434587478637695,-98.10774230957031
105,1300,1.0075958967208862,1299,-41.35162353515625,61,0.0007,6500,-0.0002701282501220703,0.9683156,21.027807235717773,184.1839599609375
105,1400,1.007629632949829,1399,-41.34666442871094,66,0.0007,7000,0.0,0.40182295,26.16379165649414,201.40652465820312
105,1500,1.0075515508651733,1499,-41.335506439208984,71,0.0007,7500,-0.005540132522583008,-1.2211254,1.0524790287017822,-10.153790473937988
105,1600,1.0101946592330933,1599,-41.41954803466797,75,0.0007,8000,0.0,1.3776437,1.431488275527954,16.048221588134766
104,1700,1.0110806226730347,1699,-41.43829345703125,81,0.0007,8500,-1.1920928955078125e-07,4.431129,10.507680892944336,119.51444244384766
104,1800,1.0111390352249146,1799,-41.43943405151367,86,0.0007,9000,-1.1920928955078125e-07,0.961376,0.6984322667121887,34.932830810546875
102,1900,1.013443112373352,1899,-41.520694732666016,92,0.0007,9500,-0.006807804107666016,0.72051424,0.68738853931427,15.736944198608398
101,2000,1.0154825448989868,1999,-41.572044372558594,98,0.0007,10000,0.0,0.95507276,5.962331771850586,85.0981674194336
101,2100,1.0160702466964722,2099,-41.58171081542969,103,0.0007,10500,0.0,1.0660037,3.2990105152130127,75.28780364990234
101,2200,1.0151671171188354,2199,-41.55971145629883,108,0.0007,11000,0.0018038153648376465,0.4606998,6.697267055511475,45.22907638549805
101,2300,1.0165306329727173,2299,-41.600120544433594,113,0.0007,11500,2.384185791015625e-07,-28.690697,1345.887451171875,-1530.53173828125
101,2400,1.0190699100494385,2399,-41.67219924926758,118,0.0007,12000,0.027368605136871338,0.56415707,8.609687805175781,115.20391845703125
101,2500,1.0190975666046143,2499,-41.67399597167969,122,0.0007,12500,0.0,1.3893023,1.958439588546753,-35.39809799194336
102,2600,1.0180344581604004,2599,-41.63945770263672,127,0.0007,13000,0.0,0.9536101,1.232623815536499,11.596641540527344
101,2700,1.018188238143921,2699,-41.64861297607422,132,0.0007,13500,-1.1920928955078125e-07,0.40746394,5.08154296875,69.88653564453125
101,2800,1.0198431015014648,2799,-41.692020416259766,137,0.0007,14000,0.0,1.7035886,20.490680694580078,-175.5117645263672
101,2900,1.0223705768585205,2899,-41.75996398925781,142,0.0007,14500,0.0,-1.2604177,0.78070068359375,33.590450286865234
101,3000,1.0227352380752563,2999,-41.77360153198242,147,0.0007,15000,-1.1920928955078125e-07,-0.9777661,5.399594306945801,83.18490600585938
101,3100,1.0216758251190186,3099,-41.74282455444336,153,0.0007,15500,0.0,0.3582288,1.2078592777252197,19.51764488220215
101,3200,1.0216844081878662,3199,-41.73661422729492,157,0.0007,16000,-1.1920928955078125e-07,4.12027,14.469271659851074,116.6006851196289
101,3300,1.020439863204956,3299,-41.70490646362305,162,0.0007,16500,0.0,-0.57126313,10.294011116027832,-128.41920471191406
101,3400,1.0201481580734253,3399,-41.70268630981445,167,0.0007,17000,0.0,-0.034705676,8.449185371398926,114.68559265136719
101,3500,1.0209002494812012,3499,-41.71881866455078,171,0.0007,17500,0.0034468770027160645,2.2089827,2.7916226387023926,46.341827392578125
99,3600,1.0216313600540161,3599,-41.741600036621094,180,0.0007,18000,0.0,1.3169495,20.9383487701416,159.42527770996094
98,3700,1.0233036279678345,3699,-41.790748596191406,187,0.0007,18500,-0.008062481880187988,-0.9921356,2.036735773086548,25.965112686157227
97,3800,1.0244083404541016,3799,-41.81623840332031,195,0.0007,19000,0.0,-1.345365,3.884009599685669,-26.48159408569336
96,3900,1.0254484415054321,3899,-41.84170150756836,202,0.0007,19500,0.0,1.5402751,13.415438652038574,-143.96633911132812
95,4000,1.0269805192947388,3999,-41.888633728027344,209,0.0007,20000,0.0,-3.816475,8.910207748413086,120.01920318603516
94,4100,1.0276920795440674,4099,-41.9169921875,217,0.0007,20500,0.006193339824676514,-2.5037308,0.962252140045166,2.580486297607422
94,4200,1.0289125442504883,4199,-41.9357795715332,223,0.0007,21000,0.0,-1.9401435,22.19738006591797,155.04302978515625
94,4300,1.031368374824524,4299,-42.005767822265625,228,0.0007,21500,0.0,0.55750024,1.6466010808944702,-52.78221893310547
93,4400,1.0311408042907715,4399,-41.99128723144531,235,0.0007,22000,-0.02498042583465576,-5.3044224,0.6488587856292725,8.48109245300293
93,4500,1.03453528881073,4499,-42.09136962890625,240,0.0007,22500,-1.1920928955078125e-07,4.199737,8.170028686523438,110.225341796875
93,4600,1.0337387323379517,4599,-42.06523513793945,245,0.0007,23000,0.0,2.039244,30.156681060791016,227.106689453125
